,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"週間献立表",,,,,,,,,,,,,,,,,,,,,,
,"平成27年9月6日(日)～平成27年9月12日(土)",,,,,,,,,,,,,,,,,,,,,,
,"区分","9/6(日)",,,"9/7(月)",,,"9/8(火)",,,"9/9(水)",,,"9/10(木)",,,"9/11(金)",,,"9/12(土)",,," "
,"朝食"," ",,,"味噌汁",,"29KC","食パン",,"407KC","味噌汁",,"32KC","味噌汁",,"47KC","クロワッサン",,"404KC","味噌汁",,"32KC"," "
,," ",,,"牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC","牛乳",,"134KC"," "
,,,,,"野菜ソテー",,"84KC","チキンナゲット",,"217KC","温泉卵",,"64KC","納豆",,"60KC","牛肉コロッケ",,"160KC","納豆",,"60KC"," "
,,,,,"オムレツ",,"86KC","スクランブルエッグ",,"118KC","ひじきと揚げの煮物",,"51KC","卵とじ",,"124KC","コールスロー",,"71KC","ハムエッグ",,"122KC"," "
,,,,,"ふりかけ",,"15KC","サラダ",,"18KC","きゃらぶき",,"10KC","辛子昆布",,"4KC","スープ",,"11KC","ふりかけ",,"15KC"," "
,,,,,"梅干",,"1KC","スープ",,"14KC","漬物",,"1KC","漬物",,"5KC"," ",,,"梅干",,"1KC"," "
,,,,,"ご飯",,"427KC",,,,"ご飯",,"427KC","ご飯",,"427KC"," ",,,"ご飯",,"427KC"," "
,,,,,"777KC た25 脂21 炭117 塩4.2",,,"907KC た43 脂37 炭97 塩4.6",,,"720KC た24 脂16 炭118 塩3.1",,,"801KC た32 脂18 炭124 塩3.0",,,"780KC た18 脂49 炭66 塩3.4",,,"791KC た32 脂21 炭114 塩3.8",,," "
,,,,,,,,,,,,,,,,,,,,,,,
,"昼食"," ",,,"煮こみハンバーグ",,"537KC","焼肉",,"281KC","カレーライス",,"823KC","牛丼",,"853KC","ソース焼きそば",,"455KC","菓子パン",,"676KC"," "
,," ",,,"オレンジ",,"12KC","ぶどうゼリー",,"56KC","福神漬",,"14KC","春雨の華風和え",,"114KC","フランクフルト",,"250KC","牛乳",,"134KC"," "
,,,,,"千草サラダ",,"111KC","グリーンサラダ",,"53KC","生野菜",,"19KC","プリン",,"101KC","コンビネーションサラダ",,"89KC","バナナ",,"77KC"," "
,,,,,"味噌汁",,"62KC","七種の野菜スープ煮",,"90KC","牛乳",,"134KC","味噌汁",,"40KC","スープ",,"13KC","クリームシチュー",,"212KC"," "
,,,,,"ご飯",,"427KC","ミニ冷しそうめん",,"55KC","スライスチーズ",,"68KC"," ",,,"ご飯",,"249KC"," ",,," "
,,,,," ",,,"ご飯",,"427KC","オレンジゼリーみかん入り",,"62KC"," ",,," ",,," ",,," "
,,,,,"1150KC た36 脂45 炭145 塩4.3",,,"962KC た34 脂27 炭141 塩4.6",,,"1119KC た31 脂32 炭171 塩3.5",,,"1107KC た45 脂26 炭163 塩4.3",,,"1057KC た35 脂38 炭138 塩6.2",,,"1099KC た31 脂45 炭144 塩3.1",,," "
,,,,,,,,,,,,,,,,,,,,,,,
,"夕食","豚カツ",,"453KC","鮭のスクランブルエッグ焼き",,"381KC","鶏肉の照り焼き",,"407KC","トンテキ",,"295KC","さんまの竜田揚げ",,"367KC","鶏肉のチリソース",,"331KC","カジキのごま照り焼き",,"249KC"," "
,,"筑前煮",,"88KC","豆腐の五目あん",,"75KC","白和え",,"60KC","ビーフンソテー",,"170KC","大根と鶏肉の煮物",,"71KC","竹輪といんげんの炒め煮",,"92KC","豆腐のコーンスープ煮",,"98KC"," "
,,"コールスロー",,"21KC","味噌汁",,"29KC","豚汁",,"73KC","じゃがいもの豚そぼろ煮",,"163KC","もやしの中華和え",,"46KC","れんこんのサラダ",,"156KC","フルーツポンチ",,"85KC"," "
,,"味噌汁",,"26KC","ご飯",,"427KC","ご飯",,"427KC","フルーツポンチ",,"138KC","ミルクソフトゼリー",,"155KC","味噌汁",,"24KC","青菜のからし和え",,"20KC"," "
,,"ご飯",,"427KC"," ",,," ",,,"味噌汁",,"26KC","かき玉汁",,"33KC","ご飯",,"427KC","味噌汁",,"38KC"," "
,," ",,,,,,,,,"ご飯",,"427KC","ご飯",,"427KC"," ",,,"ご飯",,"427KC"," "
,,"1016KC た39 脂27 炭149 塩3.9",,,"912KC た39 脂24 炭129 塩3.9",,,"967KC た52 脂29 炭120 塩3.0",,,"1217KC た35 脂30 炭195 塩5.7",,,"1099KC た38 脂38 炭144 塩4.2",,,"1031KC た39 脂34 炭136 塩4.8",,,"918KC た37 脂17 炭149 塩4.6",,," "
,"合計","1016KC た39 脂27 炭149 塩3.9",,,"2839KC た100 脂91 炭391 塩12.4",,,"2836KC た129 脂93 炭357 塩12.2",,,"3056KC た89 脂78 炭484 塩12.3",,,"3007KC た116 脂83 炭431 塩11.5",,,"2868KC た92 脂121 炭340 塩14.4",,,"2808KC た100 脂84 炭407 塩11.5",,," "
,,,,,,,,,,,,,,,,,,,,,,," "
